Country,Women_Edu_Pct,GDP_Per_Capita_USD,Women_Emp_Pct,Fertility_Rate
AUS,56.772099,69418.944207,82.315956672329,1.7
AUT,35.388458,67792.406005,81.4394493922579,1.48
BEL,50.180088,65509.386133,79.1173354353342,1.6
CAN,69.489197,58347.676945,83.0450731168588,1.43
CZE,29.772858,49122.317085,85.9525903012454,1.83
DNK,49.001373,74859.416551,84.4645043866751,1.72
FIN,49.854015,59461.616223,85.2444012058449,1.46
FRA,44.708405,54988.881441,81.016426143881,1.8
DEU,30.454971,63521.899276,84.230429612122,1.58
GRC,37.135807,36574.04193,78.0459623481872,1.43
HUN,33.936646,41565.507721,85.9536868962726,1.59
ISL,54.667465,69616.051554,88.4940949870749,1.82
IRL,58.121262,127146.265184,82.2408746813242,1.72
ITA,23.533993,52802.956093,72.7976193079463,1.25
JPN,57.32716,45648.781715,86.6164449430998,1.3
KOR,51.005707,50330.65223,76.8268024877786,0.81
LUX,52.599995,140150.398233,81.1591255747424,1.38
MEX,20.143509,21442.194064,71.6767292876239,1.82
NLD,45.707039,70861.366489,85.4279092141514,1.62
NZL,43.47171,51635.654488,86.1284032100803,1.64
NOR,54.209,114932.192428,84.0242354297116,1.55
POL,40.363041,42961.752668,80.8415545043508,1.33
PRT,36.661926,42313.130693,85.4347627320106,1.35
SVK,34.594795,37067.28435,84.6683876287041,1.63
ESP,44.719719,46490.547319,81.8586747025628,1.19
SWE,56.250675,65156.950747,89.2834268922126,1.67
CHE,41.891602,84593.018629,86.4471361938986,1.51
TUR,24.712645,37299.591132,63.3225020308692,1.7
GBR,53.103844,54265.752346,81.9423770359229,1.53
USA,54.022106,76291.024903,78.1403013460755,1.66
COL,30.715418,20822.147787,77.3282086694084,1.72
EST,53.523026,47152.179753,87.5898381183985,1.61
ISR,56.01664,49788.625702,81.2303214274781,3.0
LVA,48.913044,39680.779825,84.0139110726466,1.57
SVN,48.274311,48361.944853,83.5254813834284,1.64
LTU,54.084526,48860.743439,85.9257303564628,1.36
CRI,27.570807,24776.739003,76.2840718059558,1.53
